StationID	Station	VisitDate	Time	Test	Symbol	Stratum	Result	Depth	Lab	FieldID
9	Otter Creek Segment	07/08/93	1900	Chloride		E	11.6	2	VT	9341137
9	Otter Creek Segment	07/08/93	1900	Chlorophyll-a			3.42	8.6	NY	9341137
9	Otter Creek Segment	07/08/93	1900	Secchi Depth			4.3			9341137
9	Otter Creek Segment	07/08/93	1900	Total Phosphorus		E	18	2	VT	9341137
9	Otter Creek Segment	09/02/93	1410	Chloride		E	11.4	2	VT	9341253
9	Otter Creek Segment	09/02/93	1410	Chlorophyll-a			4.71	9	NY	9341253
9	Otter Creek Segment	09/02/93	1410	Dissolved Phosphorus		E	6	2	VT	9341253
9	Otter Creek Segment	09/02/93	1410	Secchi Depth			4.5			9341253
9	Otter Creek Segment	09/02/93	1410	Total Phosphorus		E	10	2	VT	9341253
9	Otter Creek Segment	10/20/1993	1000	Chloride		E	11.3	2	VT	9341346
9	Otter Creek Segment	10/20/1993	1000	Chlorophyll-a			4.77	13.6	NY	9341346
9	Otter Creek Segment	10/20/1993	1000	Dissolved Phosphorus		E	4	2	VT	9341346
9	Otter Creek Segment	10/20/1993	1000	Secchi Depth			6.8			9341346
9	Otter Creek Segment	10/20/1993	1000	Total Phosphorus		E	11	2	VT	9341346
9	Otter Creek Segment	08/03/94	1212	Chloride		E	11.7	2	VT	9441546
9	Otter Creek Segment	08/03/94	1212	Dissolved Phosphorus		E	4	2	VT	9441546
9	Otter Creek Segment	08/03/94	1212	Secchi Depth			6.3			9441546
9	Otter Creek Segment	08/03/94	1212	Total Phosphorus		E	10	2	VT	9441546
9	Otter Creek Segment	10/13/1994	1045	Chloride		E	11.8	2	VT	9441629
9	Otter Creek Segment	10/13/1994	1045	Chlorophyll-a			5.83	10.8	NY	9441629
9	Otter Creek Segment	10/13/1994	1045	Dissolved Phosphorus		E	5	2	VT	9441629
9	Otter Creek Segment	10/13/1994	1045	Secchi Depth			5.4			9441629
9	Otter Creek Segment	10/13/1994	1045	Total Phosphorus		E	11	2	VT	9441629
9	Otter Creek Segment	05/28/1996	1108	Chloride		E	12	2	NY	9641106
9	Otter Creek Segment	05/28/1996	1108	Chlorophyll-a			8.27		NY	9641106
9	Otter Creek Segment	05/28/1996	1108	Total Phosphorus		E	31	2	NY	9641106
9	Otter Creek Segment	09/05/96	1111	Chloride		E	12.2	2	NY	9641823
9	Otter Creek Segment	09/05/96	1111	Chlorophyll-a			7.86	10	NY	9641823
9	Otter Creek Segment	09/05/96	1111	Secchi Depth			5			9641823
9	Otter Creek Segment	09/05/96	1111	Total Phosphorus		E	9	2	NY	9641823
9	Otter Creek Segment	10/15/1996	1100	Chloride		E	12.6	2	NY	9641934
9	Otter Creek Segment	10/15/1996	1100	Chlorophyll-a			1.92	14	NY	9641934
9	Otter Creek Segment	10/15/1996	1100	Secchi Depth			7			9641934
9	Otter Creek Segment	10/15/1996	1100	Total Phosphorus		E	9	2	NY	9641934
9	Otter Creek Segment	05/10/01	1040	Dissolved Oxygen		P	12.85	2	VT	200100011
9	Otter Creek Segment	05/10/01	1040	Temperature		P	9.1	2		200100011
9	Otter Creek Segment	05/10/01	1040	Dissolved Oxygen		P	12.5	5	VT	200100012
9	Otter Creek Segment	05/10/01	1040	Temperature		P	8.3	5		200100012
9	Otter Creek Segment	05/10/01	1040	Dissolved Oxygen		P	12.5	10	VT	200100013
9	Otter Creek Segment	05/10/01	1040	Temperature		P	8	10		200100013
9	Otter Creek Segment	05/10/01	1040	Dissolved Oxygen		P	12.3	20	VT	200100014
9	Otter Creek Segment	05/10/01	1040	Temperature		P	6.9	20		200100014
9	Otter Creek Segment	05/10/01	1040	Dissolved Oxygen		P	12.4	30	VT	200100015
9	Otter Creek Segment	05/10/01	1040	Temperature		P	6	30		200100015
9	Otter Creek Segment	05/10/01	1040	Dissolved Oxygen		P	12.6	40	VT	200100016
9	Otter Creek Segment	05/10/01	1040	Temperature		P	5.4	40		200100016
9	Otter Creek Segment	05/10/01	1040	Dissolved Oxygen		P	12.6	50	VT	200100017
9	Otter Creek Segment	05/10/01	1040	Temperature		P	5.1	50		200100017
9	Otter Creek Segment	05/10/01	1040	Dissolved Oxygen		P	12.62	60	VT	200100018
9	Otter Creek Segment	05/10/01	1040	Temperature		P	5	60		200100018
9	Otter Creek Segment	05/10/01	1040	Dissolved Oxygen		P	12.6	70	VT	200100019
9	Otter Creek Segment	05/10/01	1040	Temperature		P	5	70		200100019
9	Otter Creek Segment	05/10/01	1040	Dissolved Oxygen		P	12.65	80	VT	200100020
9	Otter Creek Segment	05/10/01	1040	Temperature		P	4.8	80		200100020
9	Otter Creek Segment	05/10/01	1040	Dissolved Oxygen		P	12.6	90	VT	200100021
9	Otter Creek Segment	05/10/01	1040	Temperature		P	4.8	90		200100021
9	Otter Creek Segment	05/10/01	1040	Alkalinity		U	52.7	COM	VT	200142132
9	Otter Creek Segment	05/10/01	1040	Calcium		U	15.6	COM	VT	200142132
9	Otter Creek Segment	05/10/01	1040	Conductivity		U	123	COM	VT	200142132
9	Otter Creek Segment	05/10/01	1040	Dissolved Phosphorus		U	9	COM	VT	200142132
9	Otter Creek Segment	05/10/01	1040	Dissolved Silica		U	1.96	COM	VT	200142132
9	Otter Creek Segment	05/10/01	1040	Iron		U	137	COM	VT	200142132
9	Otter Creek Segment	05/10/01	1040	Magnesium		U	4.5	COM	VT	200142132
9	Otter Creek Segment	05/10/01	1040	pH		U	7.84	COM	VT	200142132
9	Otter Creek Segment	05/10/01	1040	Potassium		U	1.4	COM	VT	200142132
9	Otter Creek Segment	05/10/01	1040	Secchi Depth			2.2			200142132
9	Otter Creek Segment	05/10/01	1040	Sodium		U	8.9	COM	VT	200142132
9	Otter Creek Segment	05/10/01	1040	Temperature			14.8	1		200142132
9	Otter Creek Segment	05/10/01	1040	Total Nitrogen		U	0.49	COM	VT	200142132
9	Otter Creek Segment	05/10/01	1040	Total Phosphorus		U	22	COM	VT	200142132
9	Otter Creek Segment	05/10/01	1040	Total Suspended Solids		U	2.42	COM	VT	200142132
9	Otter Creek Segment	05/16/2001	1430	Alkalinity		U	52.3	COM	VT	200141120
9	Otter Creek Segment	05/16/2001	1430	Calcium		U	17.3	COM	VT	200141120
9	Otter Creek Segment	05/16/2001	1430	Chloride		U	13.3	COM	VT	200141120
9	Otter Creek Segment	05/16/2001	1430	Dissolved Phosphorus		U	8	COM	VT	200141120
9	Otter Creek Segment	05/16/2001	1430	Dissolved Silica		U	1.93	COM	VT	200141120
9	Otter Creek Segment	05/16/2001	1430	Iron		U	95	COM	VT	200141120
9	Otter Creek Segment	05/16/2001	1430	Magnesium		U	4.4	COM	VT	200141120
9	Otter Creek Segment	05/16/2001	1430	Potassium		U	1.4	COM	VT	200141120
9	Otter Creek Segment	05/16/2001	1430	Secchi Depth			5.2			200141120
9	Otter Creek Segment	05/16/2001	1430	Sodium		U	8.9	COM	VT	200141120
9	Otter Creek Segment	05/16/2001	1430	Total Phosphorus		U	13	COM	VT	200141120
9	Otter Creek Segment	05/24/2001	1230	Chloride		E	12.9	COM	VT	200142148
9	Otter Creek Segment	05/24/2001	1230	Dissolved Phosphorus		E	7	COM	VT	200142148
9	Otter Creek Segment	05/24/2001	1230	Dissolved Silica		E	1.52	COM	VT	200142148
9	Otter Creek Segment	05/24/2001	1230	pH		E	8.44	COM	VT	200142148
9	Otter Creek Segment	05/24/2001	1230	Secchi Depth			2.2			200142148
9	Otter Creek Segment	05/24/2001	1230	Temperature			13.3	1		200142148
9	Otter Creek Segment	05/24/2001	1230	Total Nitrogen		E	0.49	COM	VT	200142148
9	Otter Creek Segment	05/24/2001	1230	Total Phosphorus		E	21	COM	VT	200142148
9	Otter Creek Segment	05/24/2001	1230	Total Suspended Solids		E	2.4	COM	VT	200142148
9	Otter Creek Segment	05/24/2001	1245	Chloride		H	13.5	COM	VT	200142149
9	Otter Creek Segment	05/24/2001	1245	Dissolved Phosphorus		H	9	COM	VT	200142149
9	Otter Creek Segment	05/24/2001	1245	Dissolved Silica		H	1.79	COM	VT	200142149
9	Otter Creek Segment	05/24/2001	1245	pH		H	7.71	COM	VT	200142149
9	Otter Creek Segment	05/24/2001	1245	Total Nitrogen		H	0.47	COM	VT	200142149
9	Otter Creek Segment	05/24/2001	1245	Total Phosphorus		H	11	COM	VT	200142149
9	Otter Creek Segment	05/24/2001	1245	Total Suspended Solids		H	0.77	COM	VT	200142149
9	Otter Creek Segment	06/07/01	1240	Chloride		U	13.2	COM	VT	200142166
9	Otter Creek Segment	06/07/01	1240	Conductivity		U	167	COM	VT	200142166
9	Otter Creek Segment	06/07/01	1240	Dissolved Phosphorus		U	7	COM	VT	200142166
9	Otter Creek Segment	06/07/01	1240	Dissolved Silica		U	1.66	COM	VT	200142166
9	Otter Creek Segment	06/07/01	1240	pH		U	8.01	COM	VT	200142166
9	Otter Creek Segment	06/07/01	1240	Secchi Depth			3.4			200142166
9	Otter Creek Segment	06/07/01	1240	Temperature			15	1		200142166
9	Otter Creek Segment	06/07/01	1240	Total Nitrogen		U	0.48	COM	VT	200142166
9	Otter Creek Segment	06/07/01	1240	Total Phosphorus		U	13	COM	VT	200142166
9	Otter Creek Segment	06/07/01	1240	Total Suspended Solids		U	1.53	COM	VT	200142166
9	Otter Creek Segment	06/14/2001	950	Chloride		E	12.6	2	VT	200141172
9	Otter Creek Segment	06/14/2001	950	Dissolved Phosphorus		E	5	2	VT	200141172
9	Otter Creek Segment	06/14/2001	950	Dissolved Silica		E	1.78	2	VT	200141172
9	Otter Creek Segment	06/14/2001	950	Secchi Depth			3.5			200141172
9	Otter Creek Segment	06/14/2001	950	Total Phosphorus		E	15	2	VT	200141172
9	Otter Creek Segment	06/14/2001	1010	Chloride		H	13	COM	VT	200141173
9	Otter Creek Segment	06/14/2001	1010	Dissolved Phosphorus		H	7	COM	VT	200141173
9	Otter Creek Segment	06/14/2001	1010	Dissolved Silica		H	1.76	COM	VT	200141173
9	Otter Creek Segment	06/14/2001	1010	Total Phosphorus		H	10	COM	VT	200141173
9	Otter Creek Segment	06/25/2001	1500	Alkalinity		U	55.3	COM	VT	200142188
9	Otter Creek Segment	06/25/2001	1500	Calcium		U	17	COM	VT	200142188
9	Otter Creek Segment	06/25/2001	1500	Chloride		U	13.1	COM	VT	200142188
9	Otter Creek Segment	06/25/2001	1500	Chlorophyll-a			3.1	11.4	VT	200142188
9	Otter Creek Segment	06/25/2001	1500	Dissolved Phosphorus		U	8	COM	VT	200142188
9	Otter Creek Segment	06/25/2001	1500	Dissolved Silica		U	1.52	COM	VT	200142188
9	Otter Creek Segment	06/25/2001	1500	Iron	<	U	40	COM	VT	200142188
9	Otter Creek Segment	06/25/2001	1500	Magnesium		U	4.2	COM	VT	200142188
9	Otter Creek Segment	06/25/2001	1500	Potassium		U	1.3	COM	VT	200142188
9	Otter Creek Segment	06/25/2001	1500	Secchi Depth			5.7			200142188
9	Otter Creek Segment	06/25/2001	1500	Sodium		U	8.7	COM	VT	200142188
9	Otter Creek Segment	06/25/2001	1500	Temperature			18.3	1		200142188
9	Otter Creek Segment	06/25/2001	1500	Total Nitrogen		U	0.44	COM	VT	200142188
9	Otter Creek Segment	06/25/2001	1500	Total Phosphorus		U	14	COM	VT	200142188
9	Otter Creek Segment	06/25/2001	1500	Total Suspended Solids		U	0.63	COM	VT	200142188
9	Otter Creek Segment	07/09/01	1300	Chloride		E	13.3	COM	VT	200142219
9	Otter Creek Segment	07/09/01	1300	Chlorophyll-a			2.72	9	VT	200142219
9	Otter Creek Segment	07/09/01	1300	Conductivity		E	176	COM	VT	200142219
9	Otter Creek Segment	07/09/01	1300	Dissolved Phosphorus		E	7	COM	VT	200142219
9	Otter Creek Segment	07/09/01	1300	Dissolved Silica		E	0.19	COM	VT	200142219
9	Otter Creek Segment	07/09/01	1300	pH		E	8.29	COM	VT	200142219
9	Otter Creek Segment	07/09/01	1300	Secchi Depth			4.5			200142219
9	Otter Creek Segment	07/09/01	1300	Temperature			20.1	1		200142219
9	Otter Creek Segment	07/09/01	1300	Total Nitrogen		E	0.39	COM	VT	200142219
9	Otter Creek Segment	07/09/01	1300	Total Phosphorus		E	16	COM	VT	200142219
9	Otter Creek Segment	07/09/01	1300	Total Suspended Solids		E	1.84	COM	VT	200142219
9	Otter Creek Segment	07/09/01	1320	Chloride		H	13.5	COM	VT	200142220
9	Otter Creek Segment	07/09/01	1320	Conductivity		H	169	COM	VT	200142220
9	Otter Creek Segment	07/09/01	1320	Dissolved Phosphorus		H	8	COM	VT	200142220
9	Otter Creek Segment	07/09/01	1320	Dissolved Silica		H	1.82	COM	VT	200142220
9	Otter Creek Segment	07/09/01	1320	pH		H	7.7	COM	VT	200142220
9	Otter Creek Segment	07/09/01	1320	Total Nitrogen		H	0.47	COM	VT	200142220
9	Otter Creek Segment	07/09/01	1320	Total Phosphorus		H	11	COM	VT	200142220
9	Otter Creek Segment	07/09/01	1320	Total Suspended Solids		H	0.47	COM	VT	200142220
9	Otter Creek Segment	07/17/2001	1715	Chloride		E	13.2	COM	VT	200141216
9	Otter Creek Segment	07/17/2001	1715	Chlorophyll-a			1.94	10.4	VT	200141216
9	Otter Creek Segment	07/17/2001	1715	Dissolved Phosphorus		E	4	COM	VT	200141216
9	Otter Creek Segment	07/17/2001	1715	Dissolved Silica		E	0.21	COM	VT	200141216
9	Otter Creek Segment	07/17/2001	1715	Secchi Depth			5.2			200141216
9	Otter Creek Segment	07/17/2001	1715	Total Phosphorus		E	13	COM	VT	200141216
9	Otter Creek Segment	07/17/2001	1730	Chloride		H	13.3	COM	VT	200141217
9	Otter Creek Segment	07/17/2001	1730	Dissolved Phosphorus		H	6	COM	VT	200141217
9	Otter Creek Segment	07/17/2001	1730	Dissolved Silica		H	1.83	COM	VT	200141217
9	Otter Creek Segment	07/17/2001	1730	Total Phosphorus		H	8	COM	VT	200141217
9	Otter Creek Segment	07/25/2001	1245	Chloride		E	13.4	2	VT	200142240
9	Otter Creek Segment	07/25/2001	1245	Chlorophyll-a			2.47	8.8	VT	200142240
9	Otter Creek Segment	07/25/2001	1245	Conductivity		E	184	2	VT	200142240
9	Otter Creek Segment	07/25/2001	1245	Dissolved Phosphorus		E	6	2	VT	200142240
