StationID	Station	VisitDate	Time	Test	Symbol	Stratum	Result	Depth	Lab	FieldID
40	St. Albans Bay	05/12/92	1500	Alkalinity		U	51.1	2	VT	9228013
40	St. Albans Bay	05/12/92	1500	Chloride		U	11.3	2	VT	9228013
40	St. Albans Bay	05/12/92	1500	Dissolved Inorganic Carbon		U	12	2	NY	9228013
40	St. Albans Bay	05/12/92	1500	Dissolved Organic Carbon		U	4.8	2	NY	9228013
40	St. Albans Bay	05/12/92	1500	Dissolved Phosphorus		U	10	2	VT	9228013
40	St. Albans Bay	05/12/92	1500	Dissolved Silica		U	0.28	2	VT	9228013
40	St. Albans Bay	05/12/92	1500	Iron		U	10	2	NY	9228013
40	St. Albans Bay	05/12/92	1500	Lead	<	U	10	2	NY	9228013
40	St. Albans Bay	05/12/92	1500	Magnesium		U	4	2	NY	9228013
40	St. Albans Bay	05/12/92	1500	Ortho-Phosphorus		U	3	2	VT	9228013
40	St. Albans Bay	05/12/92	1500	Potassium		U	2.1	2	NY	9228013
40	St. Albans Bay	05/12/92	1500	Secchi Depth			3			9228013
40	St. Albans Bay	05/12/92	1500	Sodium		U	7.1	2	NY	9228013
40	St. Albans Bay	05/12/92	1500	Total Kjeldahl Nitrogen		U	0.23	2	NY	9228013
40	St. Albans Bay	05/12/92	1500	Total Nitrate-Nitrite		U	0.03	2	NY	9228013
40	St. Albans Bay	05/12/92	1500	Total Nitrogen		U	0.46	2	VT	9228013
40	St. Albans Bay	05/12/92	1500	Total Organic Carbon		U	5.1	2	NY	9228013
40	St. Albans Bay	05/12/92	1500	Total Phosphorus		U	23	2	VT	9228013
40	St. Albans Bay	05/12/92	1500	Total Suspended Solids		U	1.87	2	VT	9228013
40	St. Albans Bay	05/12/92	1515	Alkalinity		U	51.4	7	VT	9228014
40	St. Albans Bay	05/12/92	1515	Chloride		U	11	7	VT	9228014
40	St. Albans Bay	05/12/92	1515	Dissolved Inorganic Carbon		U	12	7	NY	9228014
40	St. Albans Bay	05/12/92	1515	Dissolved Organic Carbon		U	5	7	NY	9228014
40	St. Albans Bay	05/12/92	1515	Dissolved Phosphorus		U	9	7	VT	9228014
40	St. Albans Bay	05/12/92	1515	Dissolved Silica		U	0.27	7	VT	9228014
40	St. Albans Bay	05/12/92	1515	Iron	<	U	10	7	NY	9228014
40	St. Albans Bay	05/12/92	1515	Lead	<	U	10	7	NY	9228014
40	St. Albans Bay	05/12/92	1515	Magnesium		U	3.6	7	NY	9228014
40	St. Albans Bay	05/12/92	1515	Ortho-Phosphorus		U	4	7	VT	9228014
40	St. Albans Bay	05/12/92	1515	Potassium		U	2.1	7	NY	9228014
40	St. Albans Bay	05/12/92	1515	Sodium		U	6.4	7	NY	9228014
40	St. Albans Bay	05/12/92	1515	Total Kjeldahl Nitrogen		U	0.18	7	NY	9228014
40	St. Albans Bay	05/12/92	1515	Total Nitrate-Nitrite	<	U	0.05	7	NY	9228014
40	St. Albans Bay	05/12/92	1515	Total Nitrogen		U	0.42	7	VT	9228014
40	St. Albans Bay	05/12/92	1515	Total Organic Carbon		U	6.7	7	NY	9228014
40	St. Albans Bay	05/12/92	1515	Total Phosphorus		U	24	7	VT	9228014
40	St. Albans Bay	05/12/92	1515	Total Suspended Solids		U	1.89	7	VT	9228014
40	St. Albans Bay	05/19/1992	1400	Alkalinity		U	49.6	2	VT	9228027
40	St. Albans Bay	05/19/1992	1400	Chloride		U	10.5	2	VT	9228027
40	St. Albans Bay	05/19/1992	1400	Chlorophyll-a			6.2	6	NY	9228027
40	St. Albans Bay	05/19/1992	1400	Dissolved Inorganic Carbon		U	12	2	NY	9228027
40	St. Albans Bay	05/19/1992	1400	Dissolved Organic Carbon		U	3.4	2	NY	9228027
40	St. Albans Bay	05/19/1992	1400	Dissolved Phosphorus		U	8	2	VT	9228027
40	St. Albans Bay	05/19/1992	1400	Dissolved Silica		U	0.18	2	VT	9228027
40	St. Albans Bay	05/19/1992	1400	Iron		U	37	2	NY	9228027
40	St. Albans Bay	05/19/1992	1400	Lead	<	U	10	2	NY	9228027
40	St. Albans Bay	05/19/1992	1400	Magnesium		U	3.8	2	NY	9228027
40	St. Albans Bay	05/19/1992	1400	Ortho-Phosphorus	<	U	2	2	VT	9228027
40	St. Albans Bay	05/19/1992	1400	Potassium		U	2.2	2	NY	9228027
40	St. Albans Bay	05/19/1992	1400	Secchi Depth			3			9228027
40	St. Albans Bay	05/19/1992	1400	Sodium		U	6.4	2	NY	9228027
40	St. Albans Bay	05/19/1992	1400	Temperature			13.4	1		9228027
40	St. Albans Bay	05/19/1992	1400	Total Kjeldahl Nitrogen		U	0.2	2	NY	9228027
40	St. Albans Bay	05/19/1992	1400	Total Nitrate-Nitrite		U	0.03	2	NY	9228027
40	St. Albans Bay	05/19/1992	1400	Total Nitrogen		U	0.4	2	VT	9228027
40	St. Albans Bay	05/19/1992	1400	Total Organic Carbon		U	2.4	2	NY	9228027
40	St. Albans Bay	05/19/1992	1400	Total Phosphorus		U	18	2	VT	9228027
40	St. Albans Bay	05/19/1992	1400	Total Suspended Solids		U	1.5	2	VT	9228027
40	St. Albans Bay	06/04/92	1520	Alkalinity		U	47.1	2	VT	9228051
40	St. Albans Bay	06/04/92	1520	Chloride		U	10.2	2	VT	9228051
40	St. Albans Bay	06/04/92	1520	Chlorophyll-a			4.22	5.4	NY	9228051
40	St. Albans Bay	06/04/92	1520	Dissolved Inorganic Carbon		U	10	2	NY	9228051
40	St. Albans Bay	06/04/92	1520	Dissolved Organic Carbon		U	3.3	2	NY	9228051
40	St. Albans Bay	06/04/92	1520	Dissolved Phosphorus		U	10	2	VT	9228051
40	St. Albans Bay	06/04/92	1520	Dissolved Silica	<	U	0.1	2	VT	9228051
40	St. Albans Bay	06/04/92	1520	Iron		U	45	2	NY	9228051
40	St. Albans Bay	06/04/92	1520	Lead	<	U	10	2	NY	9228051
40	St. Albans Bay	06/04/92	1520	Magnesium		U	3.4	2	NY	9228051
40	St. Albans Bay	06/04/92	1520	Ortho-Phosphorus		U	3	2	VT	9228051
40	St. Albans Bay	06/04/92	1520	Potassium		U	1.9	2	NY	9228051
40	St. Albans Bay	06/04/92	1520	Secchi Depth			2.7			9228051
