StationID	Station	VisitDate	Time	Test	Symbol	Stratum	Result	Depth	Lab	FieldID
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Alkalinity		U	48.5	2	VT	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Chloride		U	10.5	2	VT	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Dissolved Inorganic Carbon		U	11	2	NY	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Dissolved Organic Carbon		U	5.6	2	NY	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Dissolved Phosphorus		U	9	2	VT	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Dissolved Silica		U	0.68	2	VT	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Iron		U	5	2	NY	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Lead	<	U	10	2	NY	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Magnesium		U	3.6	2	NY	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Ortho-Phosphorus		U	4	2	VT	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Potassium		U	1.2	2	NY	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Secchi Depth			3.3			9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Sodium		U	6.6	2	NY	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Total Kjeldahl Nitrogen		U	0.19	2	NY	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Total Nitrate-Nitrite		U	0.16	2	NY	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Total Nitrogen		U	0.53	2	VT	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Total Organic Carbon		U	5.5	2	NY	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Total Phosphorus		U	15	2	VT	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1305	Total Suspended Solids		U	1.24	2	VT	9228011
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Alkalinity		U	49	6	VT	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Chloride		U	10.5	6	VT	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Dissolved Inorganic Carbon		U	11	6	NY	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Dissolved Organic Carbon		U	6.5	6	NY	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Dissolved Phosphorus		U	9	6	VT	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Dissolved Silica		U	0.66	6	VT	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Lead	<	U	10	6	NY	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Magnesium		U	4	6	NY	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Ortho-Phosphorus		U	4	6	VT	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Potassium		U	1.5	6	NY	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Sodium		U	7.3	6	NY	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Total Kjeldahl Nitrogen		U	0.21	6	NY	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Total Nitrogen		U	0.54	6	VT	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Total Organic Carbon		U	4.7	6	NY	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Total Phosphorus		U	15	6	VT	9228012
46	Isle LaMotte (off Rouses Pt)	05/12/92	1320	Total Suspended Solids		U	1.25	6	VT	9228012
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Alkalinity		U	48.1	2	VT	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Chloride		U	10.7	2	VT	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Chlorophyll-a			6.94	6	NY	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Dissolved Inorganic Carbon		U	12	2	NY	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Dissolved Organic Carbon		U	4.1	2	NY	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Dissolved Phosphorus		U	7	2	VT	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Dissolved Silica		U	0.37	2	VT	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Iron		U	41	2	NY	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Lead	<	U	10	2	NY	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Magnesium		U	3.6	2	NY	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Ortho-Phosphorus	<	U	2	2	VT	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Potassium		U	1.6	2	NY	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Secchi Depth			3			9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Sodium		U	6.6	2	NY	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Temperature			12.2	1		9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Total Kjeldahl Nitrogen		U	0.38	2	NY	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Total Nitrate-Nitrite		U	0.14	2	NY	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Total Nitrogen		U	0.5	2	VT	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Total Organic Carbon		U	4.5	2	NY	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Total Phosphorus		U	17	2	VT	9228026
46	Isle LaMotte (off Rouses Pt)	05/19/1992	1255	Total Suspended Solids		U	2.04	2	VT	9228026
46	Isle LaMotte (off Rouses Pt)	06/04/92	1350	Alkalinity		U	47	2	VT	9228050
