StationID	Station	VisitDate	Time	Test	Symbol	Stratum	Result	Depth	Lab	FieldID
2	South Lake B	18/05/18	1050	Alkalinity		U	70	2	unknown_replace_later	42135
2	South Lake B	06/07/18	1050	Alkalinity		U	87	2	unknown_replace_later	42233
2	South Lake B	10/10/18	1045	Alkalinity		U	96	2	unknown_replace_later	42410
2	South Lake B	18/05/18	1050	Aluminum		U	64.395	2	unknown_replace_later	42135
2	South Lake B	06/07/18	1050	Aluminum		U	250.755	2	unknown_replace_later	42233
2	South Lake B	10/10/18	1045	Aluminum		U	546.031	2	unknown_replace_later	42410
2	South Lake B	18/05/18	1050	Calcium		U	27.223	2	unknown_replace_later	42135
2	South Lake B	06/07/18	1050	Calcium		U	30.65	2	unknown_replace_later	42233
2	South Lake B	10/10/18	1045	Calcium		U	32.425	2	unknown_replace_later	42410
2	South Lake B	23/05/18	1341	Chloride		U	21		unknown_replace_later	41311
2	South Lake B	06/06/18	1247	Chloride		U	22.2		unknown_replace_later	41324
2	South Lake B	20/06/18	1244	Chloride		U	23.9		unknown_replace_later	41349
2	South Lake B	13/07/18	1326	Chloride		U	25.6		unknown_replace_later	41390
2	South Lake B	31/07/18	1350	Chloride		U	30.4		unknown_replace_later	41413
2	South Lake B	14/08/18	1250	Chloride		U	21.3		unknown_replace_later	41433
2	South Lake B	24/08/18	1425	Chloride		U	30.6		unknown_replace_later	41459
2	South Lake B	20/09/18	1230	Chloride		U	29.6	2	unknown_replace_later	41490
2	South Lake B	26/10/18	1240	Chloride		U	24.8		unknown_replace_later	41510
2	South Lake B	18/05/18	1050	Chloride		U	19.2	2	unknown_replace_later	42135
2	South Lake B	28/05/18	1040	Chloride		U	22.8	2	unknown_replace_later	42149
2	South Lake B	12/06/18	1120	Chloride		U	25.6	2	unknown_replace_later	42167
2	South Lake B	25/06/18	1045	Chloride		U	24.1	2	unknown_replace_later	42191
2	South Lake B	06/07/18	1050	Chloride		U	26.4	2	unknown_replace_later	42233
2	South Lake B	18/07/18	1040	Chloride		U	24.8		unknown_replace_later	42254
2	South Lake B	30/07/18	1100	Chloride		U	31.8	2	unknown_replace_later	42289
2	South Lake B	14/08/18	1050	Chloride		U	21.2	2	unknown_replace_later	42311
2	South Lake B	27/08/18	1045	Chloride		U	30.2	2	unknown_replace_later	42350
2	South Lake B	17/09/18	1040	Chloride		U	28.8	2	unknown_replace_later	42389
2	South Lake B	10/10/18	1045	Chloride		U	29.8	2	unknown_replace_later	42410
2	South Lake B	23/05/18	1400	Chloride	<	U	2		unknown_replace_later	41313
2	South Lake B	06/06/18	1300	Chloride	<	U	2		unknown_replace_later	41326
2	South Lake B	20/06/18	1300	Chloride	<	U	2		unknown_replace_later	41351
2	South Lake B	13/07/18	1345	Chloride	<	U	2		unknown_replace_later	41392
2	South Lake B	31/07/18	1400	Chloride	<	U	2		unknown_replace_later	41415
2	South Lake B	24/08/18	1455	Chloride	<	U	2		unknown_replace_later	41461
2	South Lake B	20/09/18	1250	Chloride	<	U	2	2	unknown_replace_later	41492
2	South Lake B	26/10/18	1250	Chloride	<	U	2		unknown_replace_later	41512
2	South Lake B	17/09/18	1105	Chloride	<	U	2	2	unknown_replace_later	42391
2	South Lake B	23/05/18	1351	Chloride		U	20.9		unknown_replace_later	41312
2	South Lake B	06/06/18	1253	Chloride		U	22.6		unknown_replace_later	41325
2	South Lake B	20/06/18	1253	Chloride		U	23.6		unknown_replace_later	41350
2	South Lake B	13/07/18	1333	Chloride		U	26.4		unknown_replace_later	41391
2	South Lake B	31/07/18	1355	Chloride		U	30		unknown_replace_later	41414
2	South Lake B	14/08/18	1300	Chloride		U	21.2		unknown_replace_later	41434
2	South Lake B	24/08/18	1440	Chloride		U	30.4		unknown_replace_later	41460
2	South Lake B	20/09/18	1245	Chloride		U	29.4	2	unknown_replace_later	41491
