Trawl	Length_trout_perch
1	65
1	64
1	90
1	65
1	50
1	64
1	64
1	67
1	65
1	75
1	73
1	68
1	73
1	77
1	70
1	66
1	63
1	70
1	64
1	71
1	72
1	64
1	58
1	68
1	69
1	66
1	65
1	59
1	65
1	46
1	86
1	76
1	64
1	65
1	70
1	73
1	78
1	65
1	70
1	68
1	74
1	60
1	68
1	58
1	65
1	70
1	58
1	66
1	70
1	69
1	68
1	68
1	76
1	65
1	71
1	70
1	65
1	69
1	63
1	55
1	46
1	70
1	60
1	62
1	61
1	61
1	66
1	60
1	68
1	65
1	73
1	61
1	45
1	55
1	65
1	61
1	57
1	65
1	57
1	43
1	52
1	64
1	71
1	67
1	51
1	66
1	57
1	62
1	70
1	66
1	69
1	57
1	61
1	43
1	66
1	58
1	58
1	70
1	59
1	58
1	59
1	70
1	62
1	64
1	66
1	65
1	64
1	72
1	64
1	59
1	63
1	66
1	57
1	68
1	67
1	51
1	61
1	60
1	65
1	55
1	61
1	67
1	59
2	82
2	64
2	95
2	76
2	77
2	74
2	70
2	72
2	87
2	81
2	64
2	76
2	87
2	85
2	79
2	86
2	85
2	88
2	82
2	81
2	91
2	88
2	93
2	73
2	80
2	67
2	70
2	83
2	68
2	82
2	98
2	71
2	70
2	67
2	78
2	74
2	73
2	69
2	77
2	82
2	81
2	70
2	72
2	62
2	69
2	74
2	73
2	65
2	78
2	65
2	71
2	64
2	96
2	68
2	88
2	64
2	80
2	74
2	91
2	72
2	100
2	72
2	90
2	68
2	75
2	74
2	69
2	71
2	72
2	81
2	94
2	75
2	101
2	74
2	75
2	92
2	90
2	83
2	100
2	67
2	88
2	84
2	65
2	85
2	74
2	78
2	71
2	80
2	86
2	84
2	84
2	76
2	71
2	89
2	72
2	70
2	73
2	65
2	85
2	93
2	72
2	71
2	85
2	75
2	66
2	72
2	80
2	97
2	70
2	70
2	78
2	92
2	71
2	73
2	75
2	70
2	75
2	86
2	68
2	60
2	68
2	74
2	75
3	75
3	70
3	73
3	75
3	70
3	60
3	80
3	75
3	65
3	87
3	72
3	65
3	85
3	63
3	70
3	70
3	82
3	83
3	100
3	98
3	95
3	99
3	91
3	75
3	75
3	80
3	80
3	90
3	95
3	85
3	91
3	65
3	100
3	92
3	84
3	88
3	84
3	76
3	80
3	77
3	76
3	65
3	80
3	61
3	70
3	77
3	65
3	80
3	71
3	70
3	71
3	85
3	70
3	77
3	70
3	65
3	70
3	71
3	90
3	80
3	75
3	70
3	70
3	85
3	60
3	85
3	85
3	72
3	87
3	66
3	85
3	85
3	76
3	75
3	80
3	80
3	90
3	77
3	81
3	74
3	80
3	80
3	79
3	100
3	76
3	69
3	80
3	72
3	80
3	90
3	80
3	90
3	85
3	91
3	76
3	80
3	70
3	75
3	85
3	102
3	74
3	85
3	91
3	75
3	80
3	69
3	76
3	74
3	71
3	76
3	95
3	74
3	70
3	71
3	65
3	75
3	75
3	76
3	68
3	80
3	89
3	76
3	82
4	100
4	107
4	91
4	85
4	81
4	99
4	94
4	89
4	83
4	105
4	79
4	75
4	99
4	95
4	91
4	74
4	80
4	99
4	86
4	105
4	77
4	75
4	86
4	90
4	85
4	70
4	71
4	90
4	85
4	96
4	71
4	80
4	86
4	85
4	89
4	87
4	92
4	100
4	92
4	75
4	80
4	82
4	76
4	95
4	85
4	84
4	79
4	71
4	80
4	81
4	71
