	Trawl 1	Trawl 2	Trawl 3	Trawl 4	Trawl 5	Trawl 6	Trawl 7	Trawl 8
Date	17/09/18	17/09/18	17/09/18	17/09/18	19/09/18	19/09/18	19/09/18	19/09/18
Site	Burlington Bay	Burlington Bay	Burlington Bay	Burlington Bay	Burlington Bay	Burlington Bay	Burlington Bay	Burlington Bay
Weather	Sunny	Sunny	Sunny, clear sky, windy	Sunny, clear sky, windy	Sunny, clear sky, windy	Sunny, clear sky, windy	Sunny, clear sky, windy	Sunny, clear sky, windy
Air temp degC	30	30	30	30	16	16	18.3	18.3
Surface water temp degC	20.5	20.5	20.5	20.5	22	22	21.04	21.04
Secci depth m	3.2	3.2	5.5	5.5	5.58	5.58	4.1	4.1
Thermocline depth m	20	20	20	20	20	20	20	20
Start depth m	31.5	36.4	32	37.2	42.8	42.8	39.9	42.1
End depth m	35.5	34.6	34	38.3	40.5	40.5	40.7	39.9
Trawl duration minutes	10	10	10	10	10	10	10	10
Lat/Long	-	-	-	-	"44.28'17"" N, 73.15'74"" W"	"44.28'17"" N, 73.15'74"" W"	-	-
