TStation,TLongitude,TLatitude,LStation,LLongitude,LLatitude
WINO01,-73.2568,44.5253,LCM02,-73.383,43.7148
OTTE01,-73.2567,44.1657,LCM04,-73.4078,43.9517
MISS01,-73.1272,44.9205,LCM07,-73.4128,44.126
LAMO01,-73.1732,44.6327,LCM09,-73.3292,44.2422
POUL01,-73.3922,43.5707,LCM16,-73.232,44.4258
PIKE01,-73.0697,45.123,LCM19,-73.2992,44.471
LEWI01,-73.2462,44.2467,LCM21,-73.2317,44.4748
LOTT01,-73.2518,44.204,LCM25,-73.2812,44.582
LAPL01,-73.2168,44.3702,LCM33,-73.4182,44.7012
SARA01,-73.4532,44.692,LCM34,-73.2268,44.7082
AUSA01,-73.4492,44.5605,LCM36,-73.355,44.7562
METT01,-73.4017,43.5555,LCM40,-73.1622,44.7853
GCHA01,-73.4327,44.9802,LCM46,-73.34,44.9483
BOUQ01,-73.3902,44.364,LCM50,-73.1738,45.0133
LAUS01,-73.4965,44.5942,LCM51,-73.1297,45.0417
SALM01,-73.495,44.64,,,
PUTN01,-73.4332,43.9558,,,
LCHA01,-73.4147,44.902,,,
ROCK02,-73.0703,44.9915,,,
STEV01,-73.1192,44.8492,,,
JEWE02,-73.151,44.8562,,,
MILL01,-73.1398,44.7743,,,
